customer_id,segment,acquisition_channel,join_date
1,Low Value,Organic,2023-10-09
2,Medium Value,Organic,2023-04-15
3,Low Value,Social,2023-03-31
4,Low Value,Organic,2023-04-06
5,Medium Value,Paid Ads,2023-01-28
6,Low Value,Email,2024-07-12
7,Medium Value,Paid Ads,2023-10-12
8,Low Value,Organic,2023-06-13
9,Low Value,Paid Ads,2023-06-09
10,Medium Value,Social,2023-04-15
11,High Value,Organic,2023-12-19
12,Low Value,Social,2024-04-15
13,Low Value,Affiliate,2024-01-23
14,High Value,Paid Ads,2024-01-06
15,Low Value,Email,2023-02-16
16,Low Value,Social,2023-03-23
17,Bargain Hunter,Social,2024-01-25
18,Medium Value,Email,2024-01-09
19,Medium Value,Paid Ads,2023-10-01
20,Low Value,Email,2023-03-15
21,Low Value,Organic,2023-09-08
22,Medium Value,Paid Ads,2024-07-24
23,Medium Value,Paid Ads,2023-02-27
24,Medium Value,Organic,2023-11-20
25,Medium Value,Organic,2024-08-03
26,Bargain Hunter,Paid Ads,2024-05-26
27,Medium Value,Affiliate,2024-04-14
28,High Value,Organic,2024-07-28
29,Low Value,Email,2024-03-14
30,Bargain Hunter,Paid Ads,2023-08-13
31,Bargain Hunter,Organic,2024-05-20
32,High Value,Organic,2023-04-23
33,Medium Value,Organic,2024-03-08
34,Low Value,Paid Ads,2024-04-24
35,Low Value,Affiliate,2023-01-12
36,Low Value,Organic,2024-07-03
37,Low Value,Social,2023-12-15
38,High Value,Paid Ads,2024-04-09
39,High Value,Email,2023-09-27
40,Bargain Hunter,Social,2024-06-03
41,Bargain Hunter,Social,2023-11-02
42,Low Value,Paid Ads,2023-07-23
43,Medium Value,Social,2024-07-06
44,Bargain Hunter,Affiliate,2023-01-01
45,Low Value,Paid Ads,2023-04-25
46,Bargain Hunter,Social,2023-11-11
47,Medium Value,Organic,2024-08-03
48,Bargain Hunter,Organic,2024-05-12
49,Low Value,Affiliate,2024-06-29
50,Low Value,Organic,2024-05-01
51,Bargain Hunter,Organic,2024-06-24
52,Bargain Hunter,Paid Ads,2023-08-05
53,Bargain Hunter,Social,2023-07-25
54,Low Value,Paid Ads,2024-01-18
55,Medium Value,Paid Ads,2023-05-04
56,Medium Value,Organic,2023-01-22
57,Low Value,Organic,2023-08-14
58,High Value,Email,2023-03-02
59,Medium Value,Affiliate,2023-12-05
60,High Value,Organic,2024-05-12
61,Medium Value,Organic,2024-08-07
62,Low Value,Organic,2024-04-29
63,Low Value,Organic,2023-04-10
64,Low Value,Paid Ads,2024-02-25
65,Medium Value,Email,2023-04-11
66,High Value,Email,2023-04-22
67,Medium Value,Organic,2024-04-04
68,High Value,Organic,2024-04-18
69,Medium Value,Affiliate,2024-03-29
70,Low Value,Social,2023-04-11
71,High Value,Affiliate,2023-01-16
72,Bargain Hunter,Affiliate,2023-08-31
73,Medium Value,Paid Ads,2023-08-07
74,Bargain Hunter,Affiliate,2023-06-18
75,Medium Value,Affiliate,2023-09-29
76,Bargain Hunter,Social,2023-10-20
77,Medium Value,Affiliate,2024-07-23
78,Low Value,Paid Ads,2023-07-14
79,Medium Value,Affiliate,2024-08-16
80,Low Value,Organic,2023-11-18
81,High Value,Email,2024-05-29
82,Bargain Hunter,Paid Ads,2023-02-28
83,Bargain Hunter,Organic,2023-07-10
84,High Value,Organic,2023-08-29
85,Medium Value,Affiliate,2024-08-06
86,Medium Value,Email,2023-03-25
87,Medium Value,Email,2024-06-19
88,Medium Value,Paid Ads,2023-11-18
89,Medium Value,Paid Ads,2023-11-04
90,Medium Value,Affiliate,2023-03-16
91,High Value,Email,2024-07-30
92,Bargain Hunter,Organic,2023-08-07
93,Low Value,Organic,2023-12-24
94,Bargain Hunter,Social,2024-01-14
95,Medium Value,Paid Ads,2024-07-10
96,Low Value,Email,2024-06-25
97,High Value,Social,2023-11-03
98,Bargain Hunter,Organic,2023-05-18
99,Medium Value,Social,2024-07-20
100,Medium Value,Paid Ads,2023-08-04
101,Low Value,Organic,2023-09-28
102,Low Value,Paid Ads,2023-02-22
103,High Value,Paid Ads,2023-10-11
104,High Value,Paid Ads,2023-05-14
105,Low Value,Paid Ads,2024-03-28
106,Low Value,Paid Ads,2023-01-10
107,High Value,Affiliate,2023-06-02
108,Low Value,Social,2024-08-19
109,Low Value,Paid Ads,2023-02-12
110,Medium Value,Social,2023-02-10
111,Bargain Hunter,Organic,2023-09-13
112,Low Value,Paid Ads,2024-07-27
113,Bargain Hunter,Paid Ads,2023-06-08
114,Bargain Hunter,Organic,2023-06-16
115,Bargain Hunter,Social,2024-02-27
116,High Value,Email,2023-12-07
117,Low Value,Paid Ads,2023-09-12
118,Medium Value,Social,2023-04-21
119,Medium Value,Organic,2024-04-26
120,Medium Value,Social,2024-04-16
121,Medium Value,Social,2023-08-22
122,Medium Value,Email,2024-02-13
123,Medium Value,Social,2023-10-13
124,Medium Value,Paid Ads,2024-07-03
125,Medium Value,Organic,2023-09-25
126,Medium Value,Affiliate,2023-09-29
127,High Value,Email,2023-12-20
128,Low Value,Paid Ads,2024-06-07
129,High Value,Social,2023-07-14
130,Medium Value,Email,2023-01-02
131,Low Value,Social,2023-07-21
132,Medium Value,Organic,2023-12-05
133,Low Value,Email,2023-05-08
134,Low Value,Paid Ads,2023-11-13
135,Low Value,Paid Ads,2023-10-30
136,Low Value,Organic,2024-01-24
137,Low Value,Affiliate,2024-08-05
138,Medium Value,Paid Ads,2023-01-01
139,Medium Value,Organic,2024-08-16
140,Low Value,Paid Ads,2024-03-28
141,Medium Value,Organic,2024-04-29
142,Low Value,Affiliate,2023-06-23
143,Low Value,Paid Ads,2023-12-10
144,High Value,Affiliate,2023-08-29
145,Low Value,Organic,2023-07-23
146,High Value,Organic,2024-05-01
147,Low Value,Social,2024-04-11
148,Medium Value,Email,2023-07-19
149,Low Value,Paid Ads,2024-02-14
150,Medium Value,Email,2023-01-06
151,Bargain Hunter,Social,2023-04-20
152,Low Value,Organic,2024-06-14
153,Medium Value,Email,2023-05-05
154,Medium Value,Social,2024-06-27
155,Bargain Hunter,Email,2024-03-29
156,Low Value,Email,2024-05-31
157,Medium Value,Affiliate,2024-04-01
158,Bargain Hunter,Email,2024-05-01
159,Medium Value,Social,2023-10-11
160,Low Value,Paid Ads,2023-09-02
161,Medium Value,Organic,2023-10-20
162,Medium Value,Paid Ads,2024-07-07
163,High Value,Organic,2024-01-28
164,Low Value,Email,2023-03-07
165,Medium Value,Paid Ads,2024-04-22
166,Medium Value,Organic,2024-03-06
167,Medium Value,Social,2023-01-21
168,Bargain Hunter,Social,2024-01-25
169,Medium Value,Affiliate,2023-11-02
170,Low Value,Social,2024-03-05
171,Low Value,Email,2023-08-14
172,Medium Value,Paid Ads,2024-05-12
173,High Value,Paid Ads,2024-02-19
174,Low Value,Social,2023-05-11
175,Bargain Hunter,Paid Ads,2024-02-08
176,Low Value,Email,2023-03-27
177,Low Value,Organic,2024-04-17
178,Medium Value,Paid Ads,2023-12-02
179,Medium Value,Paid Ads,2024-01-24
180,Medium Value,Affiliate,2024-03-07
181,Medium Value,Organic,2023-01-20
182,Low Value,Organic,2023-12-25
183,Medium Value,Organic,2023-02-11
184,Low Value,Affiliate,2023-07-24
185,Low Value,Email,2023-09-02
186,High Value,Email,2024-07-31
187,Bargain Hunter,Paid Ads,2023-09-20
188,Low Value,Organic,2023-04-28
189,Low Value,Organic,2023-11-15
190,High Value,Organic,2023-11-16
191,Low Value,Affiliate,2024-01-20
192,Medium Value,Email,2023-03-19
193,Low Value,Social,2023-09-06
194,High Value,Social,2023-05-04
195,Low Value,Email,2023-02-12
196,Medium Value,Paid Ads,2024-01-15
197,High Value,Email,2023-01-13
198,Low Value,Social,2023-04-19
199,Medium Value,Paid Ads,2024-04-15
200,Low Value,Paid Ads,2024-06-18
201,Bargain Hunter,Paid Ads,2024-07-05
202,Low Value,Paid Ads,2023-10-02
203,Medium Value,Organic,2023-03-30
204,Medium Value,Paid Ads,2024-04-20
205,Low Value,Email,2023-12-11
206,High Value,Social,2023-07-06
207,Medium Value,Paid Ads,2023-09-22
208,Medium Value,Social,2023-10-10
209,Low Value,Paid Ads,2023-07-15
210,High Value,Email,2024-05-15
211,Low Value,Organic,2024-05-02
212,Low Value,Paid Ads,2023-01-18
213,High Value,Organic,2023-09-07
214,Medium Value,Email,2024-04-29
215,Low Value,Paid Ads,2024-07-17
216,Medium Value,Email,2023-10-05
217,Medium Value,Organic,2023-07-17
218,Medium Value,Email,2023-07-09
219,Medium Value,Email,2023-10-11
220,Low Value,Affiliate,2024-06-21
221,Low Value,Affiliate,2023-07-18
222,Medium Value,Paid Ads,2023-11-06
223,High Value,Paid Ads,2023-10-08
224,High Value,Organic,2023-10-27
225,Low Value,Organic,2024-05-17
226,High Value,Organic,2023-10-19
227,Medium Value,Paid Ads,2023-07-08
228,Bargain Hunter,Paid Ads,2024-05-04
229,High Value,Organic,2024-05-18
230,High Value,Email,2023-02-24
231,Medium Value,Social,2023-11-08
232,High Value,Organic,2024-07-25
233,Low Value,Email,2023-08-20
234,Low Value,Paid Ads,2024-03-29
235,Medium Value,Email,2024-03-15
236,Medium Value,Email,2023-04-12
237,Bargain Hunter,Organic,2023-08-05
238,Medium Value,Organic,2023-09-03
239,Medium Value,Organic,2023-01-03
240,Medium Value,Email,2024-04-26
241,Medium Value,Organic,2023-10-17
242,Low Value,Paid Ads,2023-08-28
243,Bargain Hunter,Social,2023-07-22
244,Medium Value,Paid Ads,2023-06-02
245,Bargain Hunter,Social,2023-03-15
246,High Value,Social,2024-08-05
247,Bargain Hunter,Paid Ads,2024-04-24
248,Low Value,Email,2023-10-06
249,Low Value,Paid Ads,2023-03-24
250,Low Value,Social,2023-11-27
251,Low Value,Organic,2023-08-23
252,Bargain Hunter,Social,2024-08-12
253,Low Value,Organic,2023-10-03
254,Low Value,Social,2023-06-29
255,Medium Value,Email,2023-10-12
256,Medium Value,Email,2024-05-18
257,Bargain Hunter,Paid Ads,2024-02-23
258,Medium Value,Email,2023-06-14
259,Medium Value,Email,2023-10-23
260,Low Value,Paid Ads,2024-07-17
261,High Value,Organic,2023-09-16
262,Medium Value,Affiliate,2024-02-18
263,Bargain Hunter,Social,2023-01-02
264,Low Value,Paid Ads,2024-02-28
265,High Value,Paid Ads,2024-05-25
266,Low Value,Social,2023-07-28
267,Medium Value,Organic,2023-10-22
268,Medium Value,Email,2023-05-05
269,High Value,Email,2023-09-03
270,Low Value,Paid Ads,2023-01-15
271,Low Value,Organic,2023-04-27
272,Medium Value,Organic,2023-06-07
273,Medium Value,Email,2024-06-05
274,Low Value,Paid Ads,2024-05-09
275,Bargain Hunter,Organic,2024-07-18
276,High Value,Organic,2024-06-04
277,Low Value,Organic,2023-03-13
278,Medium Value,Social,2024-02-29
279,Medium Value,Social,2023-10-01
280,Low Value,Paid Ads,2023-11-02
281,Low Value,Email,2024-05-16
282,Bargain Hunter,Paid Ads,2024-05-10
283,Medium Value,Email,2024-07-10
284,Medium Value,Affiliate,2023-07-13
285,Bargain Hunter,Organic,2024-01-28
286,Medium Value,Social,2023-02-14
287,Medium Value,Paid Ads,2024-01-26
288,Medium Value,Email,2023-06-05
289,Medium Value,Organic,2024-05-29
290,Bargain Hunter,Paid Ads,2023-04-13
291,Bargain Hunter,Paid Ads,2024-06-22
292,Bargain Hunter,Organic,2023-05-28
293,Medium Value,Email,2023-06-08
294,High Value,Social,2023-09-29
295,Medium Value,Email,2023-03-24
296,Bargain Hunter,Social,2024-06-30
297,Medium Value,Paid Ads,2024-05-14
298,Bargain Hunter,Organic,2023-03-12
299,Medium Value,Email,2023-10-22
300,Bargain Hunter,Email,2024-03-20
301,Bargain Hunter,Social,2023-04-13
302,Medium Value,Email,2023-01-30
303,High Value,Social,2023-10-28
