order_id,customer_id,segment,channel,order_date,subtotal,discount_amount,shipping_cost,shipping_revenue,total_revenue,total_cost,coupon_used,profit
1,1802,Medium Value,Paid Ads,2024-02-07,252.78,17.7,8.54,0.0,252.78,90.59,False,162.19
2,2165,High Value,Email,2024-04-01,666.65,29.49,43.47,0.0,666.65,393.09,False,273.57
3,607,Low Value,Email,2023-12-28,109.82,13.03,5.3,0.0,109.82,78.76,False,31.06
4,2737,Low Value,Organic,2023-09-17,1014.3,162.43,56.44,0.0,1014.3,569.82,True,444.48
5,969,High Value,Organic,2024-01-02,271.35,6.82,9.82,0.0,271.35,128.54,True,142.8
6,201,Bargain Hunter,Paid Ads,2023-08-07,258.99,135.27,19.13,0.0,258.99,175.27,True,83.72
7,1623,Bargain Hunter,Social,2024-06-23,782.78,325.2,18.93,0.0,782.78,587.31,True,195.47
8,369,Medium Value,Organic,2024-11-18,2537.55,165.48,31.42,0.0,2537.55,1618.72,False,918.83
9,997,Medium Value,Organic,2023-02-20,1283.35,263.62,47.83,0.0,1283.35,897.03,True,386.32
10,2416,Bargain Hunter,Paid Ads,2023-08-31,420.67,242.1,9.49,0.0,420.67,300.49,True,120.17
11,2698,Medium Value,Organic,2023-01-05,960.67,220.61,45.17,0.0,960.67,642.01,True,318.67
12,1070,High Value,Paid Ads,2024-03-01,886.09,69.1,38.42,0.0,886.09,452.58,True,433.5
13,1391,Medium Value,Email,2023-02-18,653.53,79.93,8.87,0.0,653.53,370.68,False,282.86
14,2186,Medium Value,Social,2023-04-16,208.28,11.98,12.74,0.0,208.28,121.4,True,86.88
15,2513,Medium Value,Email,2024-03-22,1335.32,122.39,32.75,0.0,1335.32,948.31,True,387.02
16,2169,Low Value,Paid Ads,2023-09-23,412.02,91.98,5.63,0.0,412.02,239.05,True,172.98
17,2215,Medium Value,Social,2024-09-19,170.49,34.62,16.35,0.0,170.49,93.91,True,76.58
18,2920,Medium Value,Paid Ads,2024-02-28,220.62,37.59,13.39,0.0,220.62,118.55,False,102.07
19,1683,Medium Value,Paid Ads,2023-10-15,878.49,95.76,7.83,0.0,878.49,550.47,False,328.01
20,1222,Medium Value,Organic,2023-12-28,718.12,110.9,28.32,0.0,718.12,602.39,False,115.73
21,1528,Low Value,Paid Ads,2023-08-10,478.29,65.35,25.34,0.0,478.29,408.89,True,69.4
22,1298,Low Value,Paid Ads,2024-06-10,946.39,206.02,20.68,0.0,946.39,722.74,False,223.65
23,373,Medium Value,Paid Ads,2023-04-19,340.97,78.48,10.74,0.0,340.97,263.56,True,77.41
24,2778,Medium Value,Email,2024-02-14,360.94,30.62,23.06,0.0,360.94,222.12,True,138.83
25,1075,High Value,Affiliate,2023-04-15,420.78,6.29,23.59,0.0,420.78,231.82,False,188.96
26,2385,Medium Value,Paid Ads,2023-05-02,575.68,134.2,12.81,0.0,575.68,310.63,True,265.05
27,134,Low Value,Paid Ads,2023-02-24,139.16,18.3,15.51,0.0,139.16,134.59,True,4.57
28,489,Medium Value,Organic,2023-10-29,238.57,20.31,10.22,0.0,238.57,102.56,True,136.01
29,253,Low Value,Organic,2024-11-28,448.39,27.35,5.0,0.0,448.39,288.1,True,160.29
30,543,Low Value,Paid Ads,2023-10-10,931.63,85.41,36.5,0.0,931.63,547.4,False,384.23
31,2899,Low Value,Paid Ads,2023-10-02,501.37,71.16,14.29,0.0,501.37,260.92,True,240.45
32,1852,Low Value,Paid Ads,2023-01-04,2219.61,152.1,46.59,0.0,2219.61,1657.17,False,562.44
33,1334,Medium Value,Paid Ads,2023-06-24,480.74,51.8,5.0,0.0,480.74,276.04,True,204.7
34,797,High Value,Email,2023-09-28,648.78,62.69,50.65,0.0,648.78,404.89,True,243.89
35,2483,Medium Value,Organic,2024-05-15,26.77,5.92,8.49,7.99,34.76,29.21,True,5.56
36,1091,Low Value,Paid Ads,2023-08-22,365.29,54.0,5.0,0.0,365.29,279.51,True,85.78
37,2592,Medium Value,Affiliate,2023-12-10,2328.5,311.17,49.34,0.0,2328.5,1814.4,False,514.1
38,2263,Low Value,Email,2023-11-05,625.11,115.99,33.22,0.0,625.11,424.54,False,200.56
39,1850,Medium Value,Organic,2024-10-17,2027.82,113.76,40.95,0.0,2027.82,1170.86,False,856.96
40,2467,Medium Value,Affiliate,2024-03-17,194.4,22.54,5.0,0.0,194.4,106.8,False,87.6
41,1773,Medium Value,Paid Ads,2024-10-03,337.86,60.47,23.13,0.0,337.86,199.07,False,138.79
42,673,Medium Value,Email,2023-12-06,1181.01,143.96,56.58,0.0,1181.01,767.79,True,413.21
43,2883,Medium Value,Email,2023-05-06,2984.6,387.89,45.84,0.0,2984.6,2076.65,True,907.95
44,925,High Value,Paid Ads,2024-09-30,336.95,19.91,5.33,0.0,336.95,182.22,True,154.73
45,2271,Medium Value,Paid Ads,2024-05-15,246.0,26.09,8.51,0.0,246.0,145.97,True,100.04
46,1873,High Value,Paid Ads,2023-10-18,1017.78,86.73,61.91,0.0,1017.78,575.67,False,442.1
47,2173,Medium Value,Email,2024-03-18,193.02,30.84,14.96,0.0,193.02,127.22,True,65.79
48,2163,High Value,Organic,2024-11-25,1891.75,128.72,49.79,0.0,1891.75,1112.77,False,778.98
49,2584,Low Value,Affiliate,2023-11-27,578.16,118.99,20.62,0.0,578.16,329.44,True,248.72
50,2930,Medium Value,Social,2023-03-29,715.88,74.81,28.79,0.0,715.88,539.45,False,176.43
51,2437,Medium Value,Social,2023-04-09,160.57,12.24,22.26,0.0,160.57,103.83,True,56.73
52,1793,Low Value,Email,2024-03-13,1271.13,173.29,16.61,0.0,1271.13,946.66,False,324.47
53,950,Medium Value,Organic,2023-05-24,288.01,47.79,18.32,0.0,288.01,186.71,True,101.31
54,1494,Medium Value,Paid Ads,2024-08-02,902.0,200.25,50.63,0.0,902.0,615.23,True,286.77
55,2264,Bargain Hunter,Organic,2024-06-14,34.52,17.94,5.68,7.99,42.51,32.19,True,10.32
56,1138,Low Value,Social,2023-04-20,60.03,6.68,11.85,0.0,60.03,43.55,True,16.48
57,1693,Low Value,Paid Ads,2023-05-05,555.37,106.62,31.98,0.0,555.37,263.83,False,291.54
58,420,Medium Value,Organic,2024-05-22,420.81,31.9,24.69,0.0,420.81,289.99,False,130.82
59,2176,Medium Value,Organic,2023-01-07,217.27,44.77,5.0,0.0,217.27,80.79,False,136.48
60,1356,Low Value,Paid Ads,2023-05-04,41.87,6.15,7.24,7.99,49.86,35.86,True,14.01
61,1815,Medium Value,Paid Ads,2023-02-26,246.38,57.38,8.43,0.0,246.38,140.07,True,106.3
62,2777,High Value,Social,2024-09-19,701.38,51.27,17.38,0.0,701.38,484.48,False,216.9
63,490,Low Value,Email,2024-11-04,184.28,17.35,8.48,0.0,184.28,95.02,False,89.26
64,1989,Low Value,Organic,2023-04-13,434.78,104.56,33.19,0.0,434.78,400.13,True,34.65
65,508,Bargain Hunter,Paid Ads,2023-10-18,530.4,274.96,41.96,0.0,530.4,620.63,True,-90.24
66,1487,Medium Value,Social,2024-11-03,1265.33,211.1,30.18,0.0,1265.33,760.12,True,505.2
67,1534,Medium Value,Social,2024-01-02,361.24,51.66,5.0,0.0,361.24,164.42,False,196.82
68,2800,Low Value,Social,2023-06-28,1758.34,306.38,28.17,0.0,1758.34,1135.26,True,623.08
69,580,High Value,Affiliate,2024-02-08,634.79,4.37,25.54,0.0,634.79,334.18,False,300.61
70,2421,Bargain Hunter,Email,2024-06-03,335.31,228.31,5.0,0.0,335.31,243.76,True,91.55
71,132,Medium Value,Organic,2023-12-23,171.28,27.34,7.74,0.0,171.28,130.86,False,40.42
72,1752,Low Value,Organic,2023-04-09,725.94,127.89,26.36,0.0,725.94,555.55,True,170.39
73,2358,Medium Value,Paid Ads,2023-08-31,525.86,37.06,20.36,0.0,525.86,260.22,False,265.64
74,2707,Bargain Hunter,Organic,2023-02-08,282.13,203.76,19.93,0.0,282.13,311.67,True,-29.54
75,662,Low Value,Paid Ads,2023-06-28,245.41,26.73,8.14,0.0,245.41,118.54,False,126.87
76,171,Low Value,Email,2023-09-16,263.03,37.11,10.44,0.0,263.03,138.03,False,125.01
77,830,Low Value,Social,2023-07-16,443.55,29.77,15.3,0.0,443.55,202.38,True,241.17
78,42,Low Value,Paid Ads,2024-07-13,1048.62,229.68,33.94,0.0,1048.62,714.13,True,334.49
79,285,Bargain Hunter,Organic,2023-08-01,613.71,351.36,44.74,0.0,613.71,577.7,True,36.0
80,2297,High Value,Organic,2023-05-22,634.85,55.33,11.37,0.0,634.85,341.15,False,293.7
81,1112,Medium Value,Social,2023-11-02,152.4,10.62,18.93,0.0,152.4,69.84,True,82.56
82,1453,Medium Value,Organic,2023-10-24,1043.36,242.11,21.65,0.0,1043.36,809.83,True,233.53
83,1135,Low Value,Affiliate,2024-06-14,76.79,17.99,7.43,0.0,76.79,50.31,False,26.48
84,2136,Medium Value,Paid Ads,2024-08-19,241.03,33.07,9.14,0.0,241.03,134.88,False,106.15
85,1337,Medium Value,Paid Ads,2023-07-25,307.74,34.26,13.56,0.0,307.74,223.2,False,84.54
86,1081,Medium Value,Social,2024-11-10,2533.2,582.09,42.09,0.0,2533.2,1671.33,True,861.87
87,2544,Bargain Hunter,Paid Ads,2023-02-06,236.21,110.74,5.0,0.0,236.21,104.36,True,131.85
88,1770,Bargain Hunter,Paid Ads,2023-03-24,818.98,611.56,16.57,0.0,818.98,1007.37,True,-188.38
89,2837,Low Value,Organic,2024-03-17,658.1,91.14,19.32,0.0,658.1,386.35,False,271.76
90,2899,Low Value,Paid Ads,2024-07-01,773.24,127.15,42.81,0.0,773.24,458.77,True,314.47
91,1249,Medium Value,Organic,2024-01-22,198.64,36.25,5.81,0.0,198.64,123.53,True,75.11
92,388,Medium Value,Organic,2024-01-12,639.19,73.22,31.53,0.0,639.19,415.11,True,224.08
93,1830,Medium Value,Email,2024-07-03,421.95,65.97,16.35,0.0,421.95,235.89,False,186.06
94,1715,Medium Value,Organic,2023-02-14,1299.71,139.82,31.59,0.0,1299.71,726.31,False,573.39
95,666,Bargain Hunter,Paid Ads,2023-07-30,799.02,428.33,58.69,0.0,799.02,736.92,True,62.1
96,533,High Value,Organic,2024-07-18,1245.53,37.56,28.14,0.0,1245.53,786.58,False,458.95
97,627,High Value,Email,2023-02-25,941.81,33.8,30.58,0.0,941.81,477.95,False,463.86
98,1991,Bargain Hunter,Social,2023-11-09,334.7,221.64,17.47,0.0,334.7,254.91,True,79.79
99,2401,Medium Value,Organic,2023-02-06,494.1,120.97,5.0,0.0,494.1,315.32,False,178.78
100,1952,Low Value,Email,2023-10-04,244.5,24.69,22.25,0.0,244.5,147.06,True,97.44
101,1676,Bargain Hunter,Paid Ads,2023-01-20,142.29,104.12,5.0,0.0,142.29,122.29,True,20.0
102,1354,Low Value,Organic,2024-11-06,728.01,94.29,34.74,0.0,728.01,411.96,True,316.05
103,18,Medium Value,Email,2024-09-15,831.28,162.08,34.69,0.0,831.28,604.87,True,226.41
104,1248,Medium Value,Affiliate,2024-09-28,872.74,113.54,40.92,0.0,872.74,532.19,True,340.55
105,698,Low Value,Paid Ads,2024-11-25,1116.08,114.58,38.9,0.0,1116.08,738.13,False,377.95
106,979,Medium Value,Social,2023-09-24,464.34,37.32,30.63,0.0,464.34,325.41,True,138.93
107,1663,Bargain Hunter,Affiliate,2023-10-08,1266.88,461.73,28.58,0.0,1266.88,1081.67,True,185.21
108,354,High Value,Paid Ads,2023-02-09,3460.72,227.01,42.76,0.0,3460.72,2164.96,False,1295.76
109,1817,Medium Value,Email,2024-11-07,187.51,20.4,5.0,0.0,187.51,65.56,True,121.95
110,1028,Low Value,Paid Ads,2024-07-23,1275.35,114.93,64.77,0.0,1275.35,766.64,True,508.71
111,568,Medium Value,Organic,2023-09-22,923.12,182.26,24.18,0.0,923.12,569.1,True,354.01
112,2952,Low Value,Organic,2023-02-20,690.96,64.11,10.85,0.0,690.96,451.52,False,239.44
113,2472,High Value,Affiliate,2023-02-12,1771.99,103.82,58.9,0.0,1771.99,850.97,True,921.02
114,523,Low Value,Paid Ads,2024-03-30,148.29,10.65,16.28,0.0,148.29,113.0,True,35.29
115,2690,High Value,Organic,2024-03-01,78.68,0.57,5.0,0.0,78.68,43.03,False,35.65
116,2691,Medium Value,Email,2023-12-10,426.11,104.06,15.76,0.0,426.11,169.1,False,257.01
117,27,Medium Value,Affiliate,2023-02-15,1524.88,157.53,15.88,0.0,1524.88,976.88,True,547.99
118,1675,Low Value,Social,2024-06-04,1517.02,305.26,51.88,0.0,1517.02,903.6,False,613.42
119,2436,Low Value,Organic,2024-10-26,1831.98,120.61,48.65,0.0,1831.98,832.1,True,999.87
120,1855,Low Value,Paid Ads,2024-07-05,362.13,68.94,43.09,0.0,362.13,188.78,False,173.36
121,1126,Low Value,Email,2024-03-27,495.36,53.54,7.29,0.0,495.36,374.93,True,120.43
122,2992,Low Value,Social,2024-01-06,3035.8,280.66,82.03,0.0,3035.8,1711.12,True,1324.68
123,786,Low Value,Organic,2024-06-01,537.54,35.2,24.86,0.0,537.54,368.94,True,168.6
124,1632,Medium Value,Organic,2023-05-09,2382.8,554.78,81.8,0.0,2382.8,1663.42,True,719.38
125,2872,Bargain Hunter,Organic,2023-12-16,66.0,30.04,10.68,0.0,66.0,67.92,True,-1.91
126,2597,Medium Value,Organic,2023-07-04,148.5,32.92,6.68,0.0,148.5,80.28,True,68.22
127,1413,Medium Value,Email,2024-04-26,307.17,59.14,5.0,0.0,307.17,166.72,True,140.45
128,2707,Bargain Hunter,Organic,2023-03-16,904.31,345.56,18.29,0.0,904.31,620.0,True,284.31
129,388,Medium Value,Organic,2023-10-28,2456.31,178.83,43.0,0.0,2456.31,1575.99,False,880.32
130,1519,Medium Value,Social,2024-02-23,526.04,88.92,37.45,0.0,526.04,369.98,False,156.06
131,1635,Medium Value,Paid Ads,2024-08-26,65.89,15.2,11.22,0.0,65.89,63.29,False,2.6
132,450,Medium Value,Email,2024-10-26,285.26,38.16,22.02,0.0,285.26,148.38,True,136.88
133,1538,Low Value,Organic,2023-04-10,1225.53,113.61,9.16,0.0,1225.53,974.8,True,250.73
