order_id,product_id,product_name,category,quantity,unit_price,discount_pct,discounted_price,cost_price,total_revenue,total_cost
1,163,Clothing_Item_163,Clothing,1,239.62,6.54,223.94,69.94,223.94,69.94
1,79,Clothing_Item_79,Clothing,1,30.86,6.54,28.84,12.11,28.84,12.11
2,92,Clothing_Item_92,Clothing,3,35.36,4.24,33.86,13.83,101.58,41.49
2,200,Clothing_Item_200,Clothing,1,77.97,4.24,74.67,23.85,74.67,23.85
2,12,Books_Item_12,Books,3,170.7,4.24,163.47,94.76,490.4,284.28
3,3,Electronics_Item_3,Electronics,1,122.85,10.61,109.82,73.46,109.82,73.46
4,106,Clothing_Item_106,Clothing,3,143.05,13.8,123.3,63.82,369.91,191.46
4,154,Sports_Item_154,Sports,3,183.15,13.8,157.87,80.86,473.61,242.58
4,110,Sports_Item_110,Sports,2,99.06,13.8,85.39,39.67,170.77,79.34
5,175,Books_Item_175,Books,1,278.17,2.45,271.35,118.72,271.35,118.72
6,200,Clothing_Item_200,Clothing,1,77.97,34.31,51.22,23.85,51.22,23.85
6,39,Sports_Item_39,Sports,3,75.19,34.31,49.39,31.83,148.18,95.49
6,32,Home & Garden_Item_32,Home & Garden,1,90.71,34.31,59.59,36.8,59.59,36.8
7,189,Sports_Item_189,Sports,3,205.34,29.35,145.07,122.24,435.22,366.72
7,172,Books_Item_172,Books,3,163.98,29.35,115.85,67.22,347.56,201.66
8,142,Electronics_Item_142,Electronics,2,528.27,6.12,495.93,302.41,991.85,604.82
8,99,Electronics_Item_99,Electronics,2,823.25,6.12,772.85,491.24,1545.7,982.48
9,156,Clothing_Item_156,Clothing,2,123.46,17.04,102.42,47.99,204.84,95.98
9,30,Books_Item_30,Books,1,70.71,17.04,58.66,43.29,58.66,43.29
9,57,Home & Garden_Item_57,Home & Garden,1,120.19,17.04,99.71,56.81,99.71,56.81
9,53,Electronics_Item_53,Electronics,2,481.44,17.04,399.4,280.19,798.8,560.38
9,90,Books_Item_90,Books,1,146.27,17.04,121.34,92.74,121.34,92.74
10,180,Sports_Item_180,Sports,3,220.92,36.53,140.22,97.0,420.67,291.0
11,130,Home & Garden_Item_130,Home & Garden,2,145.02,18.67,117.94,70.91,235.88,141.82
11,117,Clothing_Item_117,Clothing,1,262.04,18.67,213.1,75.79,213.1,75.79
11,176,Home & Garden_Item_176,Home & Garden,3,209.73,18.67,170.56,126.41,511.69,379.23
12,29,Home & Garden_Item_29,Home & Garden,2,239.16,7.23,221.86,96.74,443.73,193.48
12,146,Sports_Item_146,Sports,1,95.79,7.23,88.86,43.11,88.86,43.11
12,101,Clothing_Item_101,Clothing,3,127.02,7.23,117.83,59.19,353.5,177.57
13,67,Sports_Item_67,Sports,3,197.11,10.9,175.63,92.25,526.88,276.75
13,25,Home & Garden_Item_25,Home & Garden,1,142.15,10.9,126.66,85.06,126.66,85.06
14,70,Books_Item_70,Books,1,220.26,5.44,208.28,108.66,208.28,108.66
15,122,Electronics_Item_122,Electronics,2,545.45,8.4,499.66,383.47,999.32,766.94
15,32,Home & Garden_Item_32,Home & Garden,3,90.71,8.4,83.09,36.8,249.28,110.4
15,173,Clothing_Item_173,Clothing,1,94.67,8.4,86.72,38.22,86.72,38.22
16,182,Sports_Item_182,Sports,2,252.0,18.25,206.01,116.71,412.02,233.42
17,144,Home & Garden_Item_144,Home & Garden,1,16.91,16.87,14.06,7.06,14.06,7.06
17,11,Clothing_Item_11,Clothing,3,62.73,16.87,52.14,23.5,156.43,70.5
18,26,Clothing_Item_26,Clothing,1,90.05,14.55,76.94,30.43,76.94,30.43
18,44,Books_Item_44,Books,3,56.05,14.55,47.89,24.91,143.68,74.73
19,56,Electronics_Item_56,Electronics,2,487.12,9.83,439.24,271.32,878.49,542.64
20,104,Electronics_Item_104,Electronics,3,248.4,13.38,215.17,180.55,645.51,541.65
20,63,Clothing_Item_63,Clothing,1,83.83,13.38,72.62,32.42,72.62,32.42
21,104,Electronics_Item_104,Electronics,2,248.4,12.02,218.54,180.55,437.07,361.1
21,10,Books_Item_10,Books,1,46.85,12.02,41.22,22.45,41.22,22.45
22,6,Electronics_Item_6,Electronics,2,576.2,17.88,473.19,351.03,946.39,702.06
23,176,Home & Garden_Item_176,Home & Garden,2,209.73,18.71,170.49,126.41,340.97,252.82
24,198,Books_Item_198,Books,2,195.78,7.82,180.47,99.53,360.94,199.06
25,132,Books_Item_132,Books,1,183.21,1.47,180.51,117.26,180.51,117.26
25,97,Home & Garden_Item_97,Home & Garden,1,35.88,1.47,35.35,17.33,35.35,17.33
25,68,Clothing_Item_68,Clothing,2,103.99,1.47,102.46,36.82,204.92,73.64
26,81,Clothing_Item_81,Clothing,1,94.78,18.9,76.86,42.88,76.86,42.88
26,186,Sports_Item_186,Sports,2,307.55,18.9,249.41,127.47,498.82,254.94
27,52,Electronics_Item_52,Electronics,2,78.73,11.62,69.58,59.54,139.16,119.08
28,181,Clothing_Item_181,Clothing,3,86.29,7.84,79.52,30.78,238.57,92.34
29,194,Electronics_Item_194,Electronics,1,475.74,5.75,448.39,283.1,448.39,283.1
30,161,Books_Item_161,Books,2,264.14,8.4,241.96,121.85,483.92,243.7
30,86,Books_Item_86,Books,2,190.14,8.4,174.17,108.15,348.35,216.3
30,9,Clothing_Item_9,Clothing,1,108.47,8.4,99.36,50.9,99.36,50.9
31,69,Sports_Item_69,Sports,3,190.84,12.43,167.12,82.21,501.37,246.63
32,69,Sports_Item_69,Sports,2,190.84,6.41,178.6,82.21,357.2,164.42
32,16,Electronics_Item_16,Electronics,3,613.42,6.41,574.08,459.88,1722.23,1379.64
32,100,Books_Item_100,Books,2,74.89,6.41,70.09,33.26,140.17,66.52
33,126,Books_Item_126,Books,2,266.27,9.73,240.37,135.52,480.74,271.04
